FAO_code,Latin species name,English,Spanish,French
EHU,Seriphus politus,Queen croaker,,
EHV,Pearsonothuria graeffei,Blackspotted sea cucumber,,
EHW,Euphyllia glabrescens,Brain trumpet coral,,
EHX,Eurhomalea exalbida,Magellan clam,,
EHY,Euneognathia gigas,,,
EHZ,Euthynnus spp,,,
EIA,Emerita analoga,Coldwater mole crab,Muy-muy limanche,Mui-mui limanche
EIB,Ericentrus rubrus,Orange clinid,,
EIC,Eleotrica cableae,Cable's goby,,
EID,Lepidopa deamae,Toad mole crab,Muy-muy sapo,Mui-mui crapaud
EIE,Etisus laevimanus,Smooth spooner,,
EIF,Epinephelus septemfasciatus,Convict grouper,Mero carcelario,Mérou bagnard
EIG,Petrotilapia genalutea,,,
EIH,Eigenmannia humboldtii,,,
EII,Cheilodactylus vittatus,Hawaiian morwong,,
EIJ,Sepia brevimana,Shortclub cuttlefish,Sepia mazicorta,Seiche petites mains
EIK,Eriphia verrucosa,Warty crab,Cangrejo moruno,Crabe verruqueux
EIL,Ilisha elongata,Elongate ilisha,Sardineta grácil,Alose gracile
EIM,Eigenmannina melanopogon,,,
EIN,Cheilodactylus zonatus,Spottedtail morwong,,
EIO,Eirmotus octozona,,,
EIP,Sepia apama,Giant Australian cuttlefish,Sepia gigante australiana,Seiche géante australienne
EIQ,Sepia kobiensis,Kobi cuttlefish,Sepia kobi,Seiche kobi
EIR,Epinephelus trimaculatus,Threespot grouper,Mero de tres manchas,Mérou trois taches
EIS,Cheilodactylus spectabilis,Red moki,,
EIT,Epinephelus stictus,Black-dotted grouper,Mero punteado negro,Mérou points noirs
EIU,Epinephelus undulosus,Wavy-lined grouper,Mero ondulado,Mérou ondulé
EIV,Eigenmannia virescens,Glass knifefish,,
EIW,Sepia subtenuipes,,,
EIX,Tellina albicans,Glossy tellin,Telina brillante,Telline onyx
EIY,Sepia lycidas,Kisslip cuttlefish,Sepia labiada,Seiche baisers
EIZ,Cheilodactylus zebra,Redlip morwong,,
EJA,Sepia aculeata,Needle cuttlefish,Sepia de aguja,Seiche aiguille
EJB,Sepia bertheloti,African cuttlefish,Sepia africana,Seiche africaine
EJC,Episesarma chengtongense,Pinkfingered vinegar crab,,
EJD,Sepia madokai,Madokai's cuttlefish,Sepia madokai,Seiche madokai
EJE,Sepia elegans,Elegant cuttlefish,Sepia elegante,Seiche élégante
EJF,Sepia foliopeza,,,
EJG,Sepia braggi,Slender cuttlefish,Sepia grácil,Seiche gracile
EJH,Sepia prashadi,Hooded cuttlefish,Sepia caperuza,Seiche capuchon
EJI,Episesarma singaporense,Singapore vinegar crab,,
EJJ,Jurengraulis juruensis,Jurua anchovy,,
EJK,Sepia esculenta,Golden cuttlefish,Sepia dorada,Seiche dorée
EJL,Sepia elobyana,Guinean cuttlefish,Sepia guineana,Seiche de Guinée
EJM,Episesarma mederi,Thai vinegar crab,,
EJN,Sepia andreana,Andrea cuttlefish,Sepia andreana,Seiche andreana
EJO,Sepia erostrata,,,
EJP,Episesarma palawanense,Rathbun's vinegar crab,,
EJR,Sepia arabica,Arabian cuttlefish,Sepia arábiga,Seiche d'Arabie
EJS,Elacatinus janssi,Spotback goby,,
EJT,Sepia australis,Southern cuttlefish,Sepia austral,Seiche australe
EJU,Sepia aureomaculata,,,
EJV,Episesarma versicolor,Violet vinegar crab,,
EJW,Sepia tenuipes,,,
EJX,Sepia latimanus,Broadclub cuttlefish,Sepia mazuda,Seiche grandes mains
EJY,Sepia murrayi,Frog cuttlefish,Sepia rana,Seiche grenouille
EJZ,Cheilodactylus nigripes,Magpie perch,,
EKA,Acetes australis,Australian paste shrimp,Camarón de pasta australiano,Chevrette australienne
EKB,Plesionika beebei,Scarlet longbeak shrimp,Camarón picudo escarlata,Crevette long bec écarlate
EKC,Acetes americanus,Aviu shrimp,Camarón aviu,Chevrette aviu
EKD,Pecten diegensis,San Diego scallop,Vieira de San Diego,Coquille St-Jacques de San D.
EKE,Acetes serrulatus,Southern mauxia shrimp,Camaroncillo mauxia sureño,Chevrette mauxia méridionale
EKG,Tectarius grandinatus,Hailstorm prickly-winkle,,Littorine grêlée
EKH,Mesonychoteuthis hamiltoni,Antarctic cranch squid,Cranquiluria antártica,Encornet outre commun
EKI,Acetes intermedius,Taiwan mauxia shrimp,Camaroncillo mauxia de Formosa,Chevrette mauxia de Formose
EKJ,Ellerkeldia jamesoni,,,
EKK,Mercenaria campechiensis,Southern hardshell clam,,
EKL,Epicodakia bella,Divergent lucine,,Lucine divergente
EKM,Ekemblemaria myersi,Reefsand blenny,,
EKN,Acetes indicus,Jawla paste shrimp,Camaroncillo javlá,Chevrette jawla
EKO,Plesionika carinirostris,Giant longbeak shrimp,Camarón picudo gigante,Crevette long bec géante
EKP,Eumarcia paupercula,Koch's venus,,
EKQ,Tectarius coronatus,Coronate prickly-winkle,,Littorine couronnée
EKR,Acetes erythraeus,Tsivakihini paste shrimp,Camaroncillo tsivakihini,Chevrette tsivakihini
EKS,Acetes sibogae,Alamang shrimp,Camaroncillo alamang,Chevrette alamang
EKT,Plesionika trispinus,Colombian longbeak shrimp,Camarón picudo colombiano,Crevette long bec colombienne
EKU,Penaeus canaliculatus,Witch prawn,Camarón brujo,Crevette sorcière
EKV,Pecten vogdesi,Vogde's scallop,Vieira de Vogde,Coquille St-Jacques de Vogde
EKW,Plesionika williamsi,Guinea striped shrimp,Camarón rayado de Guinea,Crevette rayée guinéenne
EKX,Plesionika mexicana,Mexican longbeak shrimp,Camarón picudo mexicano,Crevette long bec mexicaine
EKY,Pecten berryi,Lunar Mexican scallop,Vieira de Berry,Coquille St-Jacques de Berry
EKZ,Pecten ziczac,Zigzag scallop,Vieira zigzag,Peigne zigzag
ELA,Anguilla rostrata,American eel,Anguila americana,Anguille d'Amérique
ELB,Lycengraulis batesii,Bates' sabretooth anchovy,,
ELC,Electrona carlsbergi,Electron subantarctic,,
ELD,Epinephelus diacanthus,Spinycheek grouper,Mero espinudo,Mérou épineux
ELE,Anguilla anguilla,European eel,Anguila europea,Anguille d'Europe
ELG,Epinephelus nigritus,Warsaw grouper,Mero negro,Mérou Varsovie
ELH,Elattarchus archidium,Bluestreak drum,,
ELI,Elates ransonnetii,Dwarf flathead,,
ELJ,Anguilla japonica,Japanese eel,Anguila japonesa,Anguille du Japon
ELK,Pelmatochromis buettikoferi,,,
ELL,Ellopostoma megalomycter,,,
ELM,Elopichthys bambusa,Yellowcheek,,
ELN,Electrona antarctica,,,
ELO,Lycothrissa crocodilus,Sabretoothed thryssa,,
ELP,Zoarces viviparus,Eelpout,Viruela,Loquette d'Europe
ELQ,Chaceon eldorado,El Dorado shrimp,Cangrejo El Dorado,Géryon El Dorado
ELR,Electrona risso,Electric lantern fish,Chispa,Étincelle
ELS,Conger myriaster,Whitespotted conger,Congrio del Pacífico,Congre du Pacifique nord-ouest
ELT,Electrona spp,,,
ELU,Anguilla australis,Short-finned eel,Anguila australiana,Anguille d'Australie
ELV,Laternula truncata,Truncate lantern clam,,Anatine tronquée
ELW,Eulophias owashii,,,
ELX,Anguilla spp,River eels nei,Anguilas nep,Anguilles nca
ELY,Penaeus longistylus,Red-spot king prawn,Camarón real manchado,Crevette royale à taches rouge
ELZ,Lycodes spp,Eelpouts,Viruelas,Loquettes
EMA,Kappaphycus alvarezii,Elkhorn sea moss,,
EMB,Premnas biaculeatus,Spinecheek anemonefish,,
EMC,Eucheuma cottonii,Zanzibar weed,Cotoni,
EMD,Eremophilus candidus,,,
EME,Plectropomus areolatus,Squaretail coralgrouper,Mero troncón,Mérou queue carrée
EMF,Eclectochromis festivus,,,
EMG,Epinnula magistralis,Domine,Dómine,Escolier maître
EMH,Enoplometopus holthuisi,Bullseye reef lobster,,
EMI,Eucheuma denticulatum,Spiny eucheuma,Eucheuma espinosa,Eucheuma épineuse
EMJ,Entomocorus benjamini,,,
EMK,Enoplometopus occidentalis,Red reef lobster,,
EML,Plectropomus laevis,Blacksaddled coralgrouper,Mero ensillado,Mérou sellé
EMM,Emmelichthys nitidus,Cape bonnetmouth,Andorrero del Cabo,Andorrève du Cap
EMN,Plectropomus punctatus,Marbled coralgrouper,Mero pecoso,Mérou pointillé
EMO,Plectropomus leopardus,Leopard coralgrouper,Mero celestial,Saumonée léopard
EMP,Lethrinidae,Emperors(=Scavengers) nei,Emperadores nep,Empereurs nca
EMQ,Semele decisa,Bark semele,Almeja blanca mexicana,Sémèle écorce
EMR,Eumesogrammus praecisus,Fourline snakeblenny,,Quatre-lignes atlantique
EMT,Emmelichthyidae,"Bonnetmouths, rubyfishes nei","Andorreros, peces rubí nep","Andorrèves, poissons rubis nca"
EMU,Plectropomus pessuliferus,Roving coralgrouper,Mero errante,Mérou-loche vagabonde
EMV,Pentaceros decacanthus,Bigspined boarfish,,
EMW,Plectropomus oligacanthus,Highfin coralgrouper,Mero vela,Mérou-loche cacatois
EMX,Eucheuma spp,Eucheuma seaweeds nei,,
EMY,Euprymna berryi,Humming-bird bobtail squid,Globito colibri,Sépiole colibri
EMZ,Eumicrotremus taranetzi,,,
ENA,Rastrineobola argentea,Silver cyprinid,,
ENB,Encheliophis boraborensis,Pinhead pearlfish,,
ENC,Enchelyopus cimbrius,Fourbeard rockling,,Motelle à quatre barbillons
END,Encrasicholina devisi,Devis' anchovy,Boquerón de DeVis,Anchois devis
ENE,Pentaceros capensis,Cape armourhead,,
ENF,Menippe frontalis,Stridulating stone crab,Cangrejo de piedra estridulant,Crabe caillou stridulant
ENG,Chrysoblephus anglicus,Englishman seabream,Sargo del Natal,Spare du Natal
ENH,Centrarchops chapini,Barred seabass,,
ENI,Epinephelus coioides,Orange-spotted grouper,Mero de pintas naranjas,Mérou taches oranges
ENJ,Evynnis japonica,Crimson seabream,Sargo púrpura,Pagre cramoisi
ENK,Enneacampus kaupi,,,
ENL,Engraulicypris sardella,,,
ENM,Enobarbichthys maculatus,,,
ENN,Centropyge acanthops,Orangeback angelfish,,
ENO,Centropyge joculator,Yellowhead angelfish,,
ENP,Anchoa hepsetus,Broad-striped anchovy,Anchoa legítima,Anchois rayé
ENQ,Entelurus aequoreus,Snake pipefish,,
ENR,Engraulis spp,Anchovies nei,Anchoas nep,Anchois nca
ENS,Metapenaeus endeavouri,Endeavour shrimp,Camarón devo,Crevette devo
ENT,Paracentropyge multifasciatus,Barred angelfish,,
ENU,Dendrophysa russelii,Goatee croaker,,
ENV,Pentaceropsis recurvirostris,Longsnout boarfish,,
ENW,Tellina tenuis,Delicate tellin,Telina delicada,Telline delicate
ENX,Centrolabrus exoletus,Rock cook,,
ENY,Ensis goreensis,Goree razor clam,Navaja de Gorea,Couteau de Gorée
ENZ,Centropyge multispinis,Dusky angelfish,,Poisson-ange brun
EOA,Enoplosus armatus,Old wife,,
EOB,Enantiopus albini,,,
EOC,Entomacrodus cadenati,,,
EOD,Enoplometopus daumi,Striped reef lobster,,
EOE,Pleuronichthys coenosus,C-O sole,,
EOF,Eleotris fusca,Dusky sleeper,,
EOG,Pleuronectes glacialis,Arctic flounder,,
EOH,Belontia hasselti,Malay combtail,,
EOI,Eledone cirrosa,Horned octopus,Pulpo blanco,Élédone commune
EOJ,Eopsetta jordani,Petrale sole,Limanda petrale,Charlottin pétrale
EOK,Pleuronectes schrenki,Cresthead flounder,,
EOL,Pelotretis flavilatus,Southern lemon sole,,
EOM,Pleuronectes putnami,,,
EON,Limanda punctatissima,,,
EOO,Pleuronectes orbignyana,,,
EOP,Eleotris picta,Spotted sleeper,,
EOQ,Melo amphora,Diadem volute,,Volute diadème
EOR,Limanda proboscidea,Longhead dab,,
EOS,Erotelis smaragdus,Emerald sleeper,,
EOT,Peltorhamphus latus,Speckled sole,,
EOU,Labeo umbratus,Moggel,,
EOV,Eleotris vittata,,,
EOW,Enteromorpha clathrata,Bright green nori,Pelo de piedra verde claro,Entéromorphe vert claire
EOX,Melo melo,Indian volute,,Volute melon
EOY,Economidichthys pygmaeus,,,
EOZ,Lessonia spp,,Chascón nep,
EPA,Epinephelus akaara,Hong Kong grouper,Mero de pintas rojas,Mérou rouge tacheté
EPB,Epalzeorhynchos bicolor,Redtail sharkminnor,,
EPC,Plagiogeneion macrolepis,,,
EPD,Centropomus medius,Blackfin snook,,
EPE,Electrophorus electricus,Electric eel,,
EPF,Epinephelus cifuentesi,Olive grouper,Gallina,Mérou poule
EPG,Centropomus nigrescens,Black snook,,
EPH,Pterengraulis atherinoides,Wingfin anchovy,,
EPI,Epigonus telescopus,Black cardinal fish,Boca negra(Pez del diablo),Poisson cardinal
EPJ,Centropomus unionensis,Union snook,,
EPK,Epinephelus costae,Goldblotch grouper,Falso abadejo,Mérou badèche
EPL,Centropomus robalito,Yellowfin snook,,
EPM,Papuengraulis micropinna,Littlefin anchovy,,
EPN,Centropomus ensiferus,Swordspine snook,,
EPO,Epapterus blohmi,,,
EPP,Centropomus parallelus,Fat snook,,
EPQ,Ellipsaria lineolata,Dromedary pearlymussel,,
EPR,Epinephelus areolatus,Areolate grouper,Mero areolado,Mérou aréolé
EPS,Centropomus pectinatus,Tarpon snook,,
EPT,Epinephelus tauvina,Greasy grouper,Mero lutria,Mérou loutre
EPU,Centropomus armatus,Armed snook,,
EPV,Epinephelus rivulatus,Halfmoon grouper,Mero medialuna,Mérou demi-lune
EPW,Eopsetta grigorjewi,Shotted halibut,,
EPX,Pelamis platurus,Pelagic sea snake,,
EPY,Epinephelus cyanopodus,Speckled blue grouper,Mero azul,Mérou bleu
EPZ,Epinephelus stoliczkae,Epaulet grouper,Mero hombrero,Mérou épaulette
EQA,Equetus acuminatus,High-hat,,
EQB,Malleus albus,White hammer oyster,,Marteau blanc
EQC,Tellina scobinata,Rasp tellin,,Telline râpe
EQD,Enoplometopus debelius,Violet-spotted reef lobster,,
EQE,Ensis ensis,Pod razor shell,Navaja,Couteau-sabre
EQF,Tectus fenestratus,Fenestrate top,,Troque fenêtre
EQG,Eurete simplicissimum,,,
EQH,Ensis macha,Giant jackknife,,
EQI,Ensis siliqua,Sword razor shell,Muergo,Couteau-silique
EQJ,Tellina remies,Remies tellin,,Telline sillonnée
EQK,Ensis arcuatus,Arched razor shell,,
EQL,Equetus lanceolatus,Jack-knifefish,,
EQM,Malleus malleus,Black hammer oyster,,Marteau noir
EQN,Tellina timorensis,Timor tellin,,Telline de Timor
EQO,Estellacar olivacea,Olive ark,,Arche olive
EQP,Tectarius pagodus,Pagoda prickly-winkle,,Littorine pagode
EQQ,Epalzeorhynchos kalopterus,Flying fox,,
EQR,Eastonia rugosa,Rugose mactra,Pechina rugosa,Eastonie rugueuse
EQS,Eriphia sebana,Smooth redeyed crab,,
EQT,Mesodesma mactroides,Yellow wedge clam,,
EQU,Mesodesma subtriangulatum,Tuatua wedge clam,,
EQV,Mesodesma ventricosum,Toheroa wedge clam,,
EQW,Erugosquilla woodmasoni,Smooth squillid mantis shrimp,,
EQX,Ensis spp,Ensis razor clams nei,Navajas Ensis nep,Couteaux Ensis nca
EQY,Tectus pyramis,Pyramid top,,Troque obelisque
EQZ,Eurythenes gryllus,,,
ERA,Eremichthys acros,Desert dace,,
ERB,Serranus subligarius,Belted sandfish,,
ERC,Etroplus maculatus,Orange chromide,,
ERD,Erimystax dissimilis,Streamline chub,,
ERE,Percichthys melanops,,,
ERF,Eurhomalea rufa,Peruvian yellow clam,,
ERG,Ereunias grallator,,,
ERH,Perinereis mullieri,,,
ERI,Perissodus eccentricus,,,
ERJ,Aspericorvina jubata,Prickly croaker,,
ERK,Petrochirus californiensis,Big-claw purple hermit crab,Ermitaño morado boxeador,Bernard-lErmite pourpre boxeur
ERL,Perccottus glenii,Chinese sleeper,,
ERM,Ectreposebastes imus,,,
ERN,Trematomus bernacchii,Emerald rockcod,Austrobacalao esmeral,Bocasson émeraude
ERO,Erosa erosa,Pitted stonefish,,
ERP,Peprilus paru,American harvestfish,Palometa pámpano,Stromaté lune
ERQ,Sesarma angolense,Angola marsh crab,Abuete de Angola,Anglette angolaise
ERR,Emerita rathbunae,Tropical mole crab,Muy-muy achiquil,Mui-mui achiquil
ERS,Eriocheir sinensis,Chinese mitten crab,Cangrejo chino,Crabe chinois
ERT,Percichthys trucha,Creole perch,,
ERU,Erimyzon sucetta,Lake chubsucker,,
ERV,Euleptorhamphus viridis,Ribbon halfbeak,Agujeta alargada,Demi-bec allongé
ERW,Perinereis cultrifera,,,
ERX,Laternula spp,,,
ERY,Erythrocles schlegelii,Japanese rubyfish,,
ERZ,Erythrocles scintillans,,,
ESA,Stolephorus baganensis,Bagan anchovy,,
ESB,Setipinna breviceps,Shorthead hairfin anchovy,,
ESC,Stolephorus chinensis,China anchovy,,
ESD,Esomus danricus,Flying barb,,
ESE,Epinephelus daemelii,Saddletail grouper,Mero montado,Mérou troussequin
ESF,Lepas anatifera,Goose barnacle,Percebe bravo,Anatife
ESG,Eutaeniichthys gilli,,,
ESH,Acetes chinensis,Northern mauxia shrimp,Camaroncillo mauxia norteño,Chevrette mauxia nordique
ESI,Stolephorus indicus,Indian anchovy,Boquerón indio,Anchois indien
ESJ,Stolephorus tri,Spined anchovy,,
ESK,Elassoma boehlkei,Carolina pygmy sunfish,,
ESL,Praealticus natalis,Natal rockskipper,,
ESM,Setipinna melanochir,Dusky-hairfin anchovy,,
ESN,Stolephorus insularis,Hardenberg's anchovy,,
ESO,Perissias taeniopterus,Striped-fin flounder,,
ESP,Setipinna phasa,Gangetic hairfin anchovy,,
ESQ,Enoplosus spp,Old wife fishes,,
ESR,Stolephorus commersonii,Commerson's anchovy,Boquerón bombra,Anchois bombra
ESS,Penaeus silasi,False white prawn,,
EST,Escualosa thoracata,White sardine,Sardina blanca,Alose blanche
ESU,Setipinna tenuifilis,Common hairfin anchovy,,
ESV,Acetes vulgaris,Jembret shrimp,Camaroncillo jembre,Chevrette jembre
ESW,Stolephorus waitei,Spotty-face anchovy,Boquerón de manchas,Anchois joues tachetées
ESX,Etisus splendidus,Splendid spooner,,
ESY,Setipinna taty,Scaly hairfin anchovy,,
ESZ,Erilepis zonifer,Skilfish,,
ETA,Etelis carbunculus,Deep-water red snapper,Pargo rubí,Vivaneau rubis
ETB,Etmopterus bigelowi,,,
ETC,Etelis coruscans,Deepwater longtail red snapper,Pargo de llama,Vivaneau flamme
ETD,Petenia splendida,,,
ETE,Etmopterus compagnoi,,,
ETF,Etmopterus lucifer,Blackbelly lanternshark,Tollo lucero diablo,Sagre lucifer
ETG,Centrogenys vaigiensis,False scorpionfish,,
ETH,Etmopterus brachyurus,Shorttail lanternshark,Tollo lucero mocho,Sagre porte-feu à queue courte
ETI,Etmopterus gracilispinis,Broadbanded lanternshark,Tollo lucero bandoneado,Sagre rubané
ETJ,Etmopterus unicolor,Brown lanternshark,Tollo lucero marrón,Sagre brun
ETK,Etmopterus splendidus,,,
ETL,Etmopterus molleri,Mollers lantern shark,,
ETM,Etmopterus granulosus,Southern lanternshark(Lucifer),Tollo negro narigón,Sagre long nez
ETN,Etmopterus hillianus,Carribean lanternshark,Tollo lucero antillano,Sagre antillais
ETO,Etmopterus decacuspidatus,Combtoothed lanternshark,Tollo lucero peine,Sagre filtre
ETP,Etmopterus pusillus,Smooth lanternshark,Tollo lucero liso,Sagre nain
ETQ,Etmopterus sentosus,Thorny lanternshark,Tollo lucero espinudo,Sagre épineux
ETR,Etmopterus princeps,Great lanternshark,Tollo lucero raspa,Sagre rude
ETS,Etroplus suratensis,Pearlspot,,
ETT,Etmopterus polli,African lanternshark,Tollo lucero africano,Sagre à menton lisse
ETU,Etmopterus bullisi,Lined lanternshark,Tollo lucero rayado,Sagre chien
ETV,Etmopterus villosus,Hawaiian lanternshark,Tollo lucero de Hawaii,Sagre diablotin
ETW,Etmopterus virens,Green lanternshark,Tollo lucero verde,Sagre vert
ETX,Etmopterus spinax,Velvet belly,Negrito,Sagre commun
ETY,Eretmodus cyanostictus,,,
ETZ,Etmopterus schultzi,Fringfin lanternshark,Tollo lucero franjeado,Sagre à nageoires frangées
EUA,Eubalaena australis,Southern right whale,Ballena franca austral,Baleine australe
EUB,Eusphyra blochii,Winghead shark,,
EUC,Eudyptes chrysolophus,Macaroni penguin,Pingüino macarrones,Gorfou doré
EUD,Eutropiellus debauwi,,,
EUE,Eupallasella perenurus,Lake minnow,,
EUF,Eustomias furcifer,,,
EUG,Eubalaena glacialis,Northern right whale,Ballena franca,Baleine de Biscaye
EUH,Eurycheilus pantherinus,,,
EUI,Eurystole eriarcha,Longfin silverside,,
EUJ,Eumicrotremus derjugini,Leatherfin lumpsucker,,
EUK,Eucryphycus californicus,Persimmon eelpout,,
EUL,Thaleichthys pacificus,Eulachon,,Eulakane
EUM,Centrarchus macropterus,Flier,,
EUN,Eustomias tetranema,,,
EUO,Eustomias longibarba,,,
EUP,Euprotomicrus bispinatus,Pygmy shark,Tollo pigmeo,Squale pygmée
EUQ,Eustomias obscurus,,,
EUR,Eustomias braueri,,,
EUS,Euchilichthys astatodon,,,
EUT,Eugnathichthys eetveldii,,,
EUU,Pareutropius buffei,,,
EUV,Eutropiichthys vacha,,,
EUW,Eurypleuron owasianum,,,
EUX,Etisus utilis,Sawedged spooner,,
EUY,Euclichthys polynemus,Eucla cod,,
EUZ,Euprotomicroides zantedeschia,Taillight shark,Tollo rabo claro,Squale à queue claire
EVA,Anchoviella alleni,Allen's anchovy,,
EVB,Anchoviella brevirostris,Snubnose anchovy,,
EVD,Evynnis cardinalis,Threadfin porgy,,
EVE,Anchoviella elongata,Elongate anchovy,,
EVG,Anchoviella guianensis,Guyana anchovy,,
EVH,Pelvicachromis humilis,,,
EVI,Evistias acutirostris,Striped boarfish,,
EVJ,Anchoviella jamesi,James's anchovy,,
EVK,Anchoviella spp,Anchoviellas nei,Anchoviellas nep,Anchoviellas nca
EVL,Anchoviella lepidentostole,Broadband anchovy,Anchoa ñata,Anchois gras
EVM,Evermannichthys metzelaari,Sponge goby,,
EVN,Anchoviella cayennensis,Cayenne anchovy,,
EVO,Evermannella balbo,Balbo sabretooth,,
EVP,Evoxymetopon poeyi,Poey's scabbardfish,Tajalí de Poey,Poisson-sabre latte
EVQ,Eudyptes chrysocome,Rockhopper penguin,Pingüino saltarrocas,Gorfou sauteur
EVR,Evorthodus lyricus,Lyre goby,,
EVS,Evibacus princeps,Shield fan lobster,Cigarro chato,Cigale écusson
EVT,Anchoviella nattereri,Natterer's anchovy,,
EVU,Evarra bustamantei,,,
EVV,Anchoviella vaillanti,Vaillant's anchovy,,
EVX,Eviota abax,,,
EVY,Evynnis spp,,,
EWA,Astacidae,European crayfishes nei,Cangrejos de río europeos nep,Écrevisses européennes nca
EWC,Epinephelus caeruleopunctatus,Whitespotted grouper,Mero nevero,Mérou taches blanches
EWE,Epinephelus epistictus,Dotted grouper,Mero pálido,Mérou pâle
EWF,Epinephelus fuscoguttatus,Brown-marbled grouper,Mero manchado,Mérou marron
EWG,Epinephelus posteli,Striped-fin grouper,Mero aleta listada,
EWI,Epinephelus irroratus,Marquesan grouper,Mero marquesano,Mérou Marquises
EWK,Eupleurogrammus glossodon,Longtooth hairtail,Pez sable dentón,Poisson-sabre dentu
EWL,Epinephelus tukula,Potato grouper,Mero patata,Mérou patate
EWM,Epinephelus miliaris,Netfin grouper,Mero colmenar,Mérou abeille
EWN,Anguilla nebulosa,Mottled eel,,
EWO,Epinephelus octofasciatus,Eightbar grouper,Mero de ocho bandas,Mérou huit raies
EWP,Epinephelus poecilonotus,Dot-dash grouper,Mero punto y linea,Mérou morse
EWQ,Lucina pensylvanica,Pennsylvania lucine,,
EWR,Epinephelus retouti,Red-tipped grouper,Mero punteado,Mérou à bout rouge
EWS,Epinephelus summana,Summan grouper,Mero sumán,Mérou summan
EWT,Epinephelus tuamotuensis,Reticulate grouper,Mero reticular,Mérou réseau
EWU,Epinephelus multinotatus,White-blotched grouper,Mero de lunares,Mérou plate grise
EWV,Epinephelus faveatus,Barred-chest grouper,Mero bandeado,Mérou écharpe
EWW,Epinephelus longispinis,Longspine grouper,Mero espigón,Mérou longues épines
EWX,Lucina spp,,,
EWY,Epinephelus polylepis,Smallscaled grouper,Mero escamoso,Mérou petites écailles
EXA,Exochochromis anagenys,Threespot torpedo,,
EXB,Exostoma berdmorei,,,
EXC,Exopalaemon carinicauda,Ridgetail prawn,Camarón quilla,Bouquet quille
EXD,Exechodontes daidaleus,,,
EXE,Exyrias belissimus,Mud reef-goby,,
EXG,Elachocharax geryi,,,
EXH,Epixanthus dentatus,Longfingered peeler crab,,
EXI,Esox americanus,Redfin pickerel,,
EXL,Euaxoctopus pillsburyae,Map octopus,Pulpo lampazo,Poulpe lierre
EXM,Exoglossum maxillingua,Cutlips minnow,,
EXN,Exopalaemon mani,Mamtom prawn,Camarón mamtom,Bouquet mamtom
EXO,Exopalaemon modestus,Siberian prawn,Camarón siberiano,Bouquet sibérien
EXP,Erisphex philippinus,,,
EXQ,Euleptorhamphus velox,Flying halfbeak,Agujeta voladora,Demi-bec volant
EXR,Exallias brevis,Leopard blenny,,
EXS,Exerpes asper,Sargassum blenny,,
EXT,Exopalaemon orientalis,Oriental prawn,Camarón oriental,Bouquet oriental
EXU,Exopalaemon vietnamicus,Vietnamese crest prawn,,
EXV,Exocoetus volitans,Tropical two-wing flyingfish,,
EXX,Exodon paradoxus,Bucktooth tetra,,
EXY,Exopalaemon styliferus,Roshna prawn,Camarón rosna,Bouquet rosna
EYA,Epiplatys azureus,,,
EYB,Thryssa baelama,Baelama anchovy,Bocarte belama,Anchois-moustache sardin
EYC,Eurypegasus draconis,Short dragonfish,,
EYD,Thryssa dussumieri,Dussumier's thryssa,Bocarte mandelo,Anchois-moustache mandeli
EYE,Thryssa encrasicholoides,False baelama anchovy,,
EYF,Seleniolycus laevifasciatus,,,
EYG,Thryssa rastrosa,Fly river thryssa,,
EYH,Thryssa hamiltonii,Hamilton's thryssa,Bocarte bolinado,Anchois-moustache mamata
EYI,Ernstichthys anduzei,,,
EYJ,Thryssa brevicauda,Short-tail thryssa,,
EYK,Thryssa kammalensis,Kammal thryssa,,
EYL,Euryglossa orientalis,Oriental sole,,
EYM,Thryssa malabarica,Malabar thryssa,Bocarte malabárico,Anchois-moustache malabar
EYN,Eupetrichthys angustipes,,,
EYO,Erythrocles monodi,Atlantic rubyfish,,
EYP,Thryssa purava,Oblique-jaw thryssa,,
EYQ,Euprymna morsei,Mimika bobtail squid,Globito mimika,Sépiole mimika
EYR,Erythrinus erythrinus,,,
EYS,Thryssa scratchleyi,New Guinea thryssa,,
EYT,Thryssa setirostris,Longjaw thryssa,Bocarte de cuernos,Anchois-moustache cornu
EYU,Eurymen gyrinus,Smoothcheek sculpin,,
EYV,Thryssa vitrirostris,Orangemouth anchovy,Bocarte cristal,Anchois-moustache cristal
EYW,Thryssa whiteheadi,Whitehead's thryssa,,
EYX,Euphylax robustus,Robustus swimcrab,Jaiba robusta,Crabe nageur robuste
EYY,Thryssa mystax,Moustached thryssa,Bocarte dompilón,Anchois-moustache sardelle
EYZ,Euprymna tasmanica,Southern bobtail squid,Globito de Tasmania,Sépiole du Tasmanie
EZE,Enteroctopus zealandicus,Yellow octopus,,
EZJ,Eubalaena japonica,North Pacific right whale,Ballena franca Pacífico norte,Baleine du Pacifique nord
EZL,Sepioloidea lineolata,Striped dumpling squid,,
EZR,Epinephelus radiatus,Oblique-banded grouper,Mero acebrado,Mérou zébré
EZS,Scorpaena elongata,Slender rockfish,Gallineta rosada,Rascasse rose
EZW,Lycengraulis spp,Sabretooth anchovys nei,,
EZX,Eurhomalea spp,,,
FAB,Puntius spp,Asian barbs nei,Barbos de Asia nep,Barbeaux d'Asie nca
FAC,Pasiphaea tarda,Crimson pasiphaeid,,
FAD,Phalium bandatum,Banded bonnet,,Casque rubanne
FAE,Paphia semirugata,Semigrooved venus,,Palourde semirugueuse
