Species,Area,Units,Country,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006
ABK,27.3.d.28.2,TLW,EE,0.261 ,0 ,0,0.28,0.033,0.003,0,0.09,0,0,0,0,0,0,0,0,0,0
ABK,27.3.d.29,TLW,EE,35.1303 ,14.4618 ,23.0858,29.756,30.69,26.298,27.17,19.33,23.81,22.98,0,0,0,0,0,0,0,0
ABK,27.3.d.32,TLW,EE,0.026 ,0.0171 ,0.091,0.112,0.106,0.183,0.51,0.11,0.21,0.23,0,0,0,0,0,0,0,0
ABK,27,TLW,LT,0 ,0.134 ,0.024,1.357,0,0,0.34,0.02,0,0,0.12,0,0,0,0,0,0,0
ABK,27.3,TLW,LT,0 ,0.134 ,0.024,1.357,0,0,0.34,0.02,0,0,0.12,0,0,0,0,0,0,0
ABK,27.3.d,TLW,LT,0 ,0.134 ,0.024,1.357,0,0,0.34,0.02,0,0,0.12,0,0,0,0,0,0,0
ABK,27.3.d.26,TLW,LT,0 ,0.134 ,0.024,1.357,0,0,0.34,0.02,0,0,0.12,0,0,0,0,0,0,0
ABK,27,TLW,LV,0.262 ,0.237 ,1.7,0.57,0.88,0.37,0.16,0.15,4.92,1.37,0.49,0.47,1.71,1.3,1.3,0.8,0,0
ABK,27.3,TLW,LV,0.262 ,0.237 ,1.7,0.57,0.88,0.37,0.16,0.15,4.92,1.37,0.49,0.47,1.71,1.3,1.3,0.8,0,0
ABK,27.3.d,TLW,LV,0.262 ,0.237 ,1.7,0.57,0.88,0.37,0.16,0.15,4.92,1.37,0.49,0.47,1.71,1.3,1.3,0.8,0,0
ABK,27.3.d.26,TLW,LV,0 ,0 ,0.01,0,0,0,0.01,0,0.04,0.09,0.03,0.09,0.3,0.2,0.1,0.1,0,0
ABK,27.3.d.28,TLW,LV,0.262 ,0.237 ,1.69,0.57,0.88,0.37,0.15,0.15,4.88,1.28,0.46,0.38,1.41,1.1,1.2,0.7,0,0
ABK,27.3.d.28.1,TLW,LV,0.149 ,0.018 ,1.51,0.05,0.67,0.15,0.07,0.06,4.51,0.41,0.3,0.37,0,0,0,0,0,0
ABK,27.3.d.28.2,TLW,LV,0.113 ,0.219 ,0.18,0.52,0.21,0.22,0.08,0.09,0.37,0.87,0.16,0.01,0,0,0,0,0,0
ABK,27.3.d.28_NK,TLW,LV,0 ,0 ,0,0,0,0,0,0,0,0,0,0,1.41,1.1,1.2,0.7,0,0
ABK,27,TLW,NL,0 ,0 ,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
ABK,27.4,TLW,NL,0 ,0 ,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
ABK,27.4.b,TLW,NL,0 ,0 ,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
ABK,27,TLW,PL,15.344 ,6.286 ,9.734,2.683,20.898,31.348,19.19,12.88,35.17,0,54.07,30.77,44.2,0,0,0,0,0
ABK,27.3,TLW,PL,15.344 ,6.286 ,9.734,2.683,20.898,31.348,19.19,12.88,35.17,0,54.07,30.77,44.2,0,0,0,0,0
ABK,27.3.d,TLW,PL,15.344 ,6.286 ,9.734,2.683,20.898,31.348,19.19,12.88,35.17,0,54.07,30.77,44.2,0,0,0,0,0
ABK,27.3.d.24,TLW,PL,10.588 ,3.585 ,6.311,1.955,4.559,11.369,11.11,6.28,34.26,0,45.96,26.24,34.3,0,0,0,0,0
ABK,27.3.d.25,TLW,PL,0 ,0 ,0,0,0,0,0,0,0,0,0.03,0.02,1.8,0,0,0,0,0
ABK,27.3.d.26,TLW,PL,4.756 ,2.701 ,3.423,0.728,16.339,19.979,8.08,6.6,0.92,0,8.09,4.52,8.1,0,0,0,0,0
ABK,27,TLW,RU,103,166,93,148,180,17,42,52,55,38,47,31,46,34,0,20,0,0
ABK,27.3,TLW,RU,103,166,93,148,180,17,42,52,55,38,47,31,46,34,0,20,0,0
ABK,27.3.d,TLW,RU,103,166,93,148,180,17,42,52,55,38,47,31,46,34,0,20,0,0
ABK,27.3.d.26,TLW,RU,84,162,90,145,167,0,42,0,0,0,0,0,15,4,0,4,0,0
ABK,27.3.d.32,TLW,RU,19,4,3,3,13,17,0,52,55,38,47,31,31,30,0,16,0,0
ABK,27,TLW,SE,0 ,0 ,0.01,0.024,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABK,27.3,TLW,SE,0 ,0 ,0.01,0.024,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABK,27.3.d,TLW,SE,0 ,0 ,0.01,0.024,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABK,27.3.d.27,TLW,SE,0 ,0 ,0.01,0.024,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABX,27,TLW,IE,0 ,0 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5
ABX,27.7,TLW,IE,0 ,0 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5
ABX,27.7.j,TLW,IE,0 ,0 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5
ABX,27.7.j_NK,TLW,IE,0 ,0 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5
ABX,27,TLW,JE,0,0,0,0,0,0,0,0.277,0.023,0.01,0.089,0.144,0.242,0.941,0.009,0,0,0
ABX,27.7,TLW,JE,0,0,0,0,0,0,0,0.277,0.023,0.01,0.089,0.144,0.242,0.941,0.009,0,0,0
ABX,27.7.e,TLW,JE,0,0,0,0,0,0,0,0.277,0.023,0.01,0.089,0.144,0.242,0.941,0.009,0,0,0
ABX,27,TLW,PT,0 ,0.44 ,0,0.01,0,0,0,0,0,4.84,0.01,2.85,0,0,0,0,0,0
ABX,27.10,TLW,PT,0 ,0 ,0,0,0,0,0,0,0,0.41,0,0.24,0,0,0,0,0,0
ABX,27.9,TLW,PT,0 ,0.44 ,0,0.01,0,0,0,0,0,4.43,0.01,2.62,0,0,0,0,0,0
ABX,27.10.a,TLW,PT,0 ,0 ,0,0,0,0,0,0,0,0.41,0,0,0,0,0,0,0,0
ABX,27.10.a.1,TLW,PT,0 ,0 ,0,0,0,0,0,0,0,0.41,0,0,0,0,0,0,0,0
ABX,27.10.b,TLW,PT,0 ,0 ,0,0,0,0,0,0,0,0,0,0.24,0,0,0,0,0,0
ABX,27.9.a,TLW,PT,0 ,0.33 ,0,0.01,0,0,0,0,0,0.65,0.01,2.62,0,0,0,0,0,0
ABX,27.9.b,TLW,PT,0 ,0.11 ,0,0,0,0,0,0,0,3.78,0,0,0,0,0,0,0,0
ABX,27.9.b.1,TLW,PT,0 ,0.11 ,0,0,0,0,0,0,0,3.78,0,0,0,0,0,0,0,0
ABZ,27,TLW,EE,0 ,0.02 ,0.04,0,0.025,0.05,0.03,0.15,0.33,0.04,0,0,0,0,0,0,0,0
ABZ,27.3,TLW,EE,0 ,0.02 ,0.04,0,0.025,0.05,0.03,0.15,0.33,0.04,0,0,0,0,0,0,0,0
ABZ,27.3.d,TLW,EE,0 ,0.02 ,0.04,0,0.025,0.05,0.03,0.15,0.33,0.04,0,0,0,0,0,0,0,0
ABZ,27.3.d.28,TLW,EE,0 ,0.02 ,0.04,0,0.025,0.05,0.03,0.15,0.33,0.04,0,0,0,0,0,0,0,0
ABZ,27.3.d.28.1,TLW,EE,0 ,0.02 ,0.04,0,0.025,0.05,0.03,0.15,0.33,0.04,0,0,0,0,0,0,0,0
ABZ,27,TLW,ES,1.94 ,1.12 ,0.83,1.23,0.66,0.51,0,0,0,0,0,0,0,0,0,0,0,0
ABZ,27.9,TLW,ES,1.94 ,1.12 ,0.83,1.23,0.66,0.51,0,0,0,0,0,0,0,0,0,0,0,0
ABZ,27.9.a,TLW,ES,1.94 ,1.12 ,0.83,1.23,0.66,0.51,0,0,0,0,0,0,0,0,0,0,0,0
ABZ,27,TLW,NL,0 ,0 ,0,0,0.012,0,0,0,0,0,0,0,0,0,0,0,0,0
ABZ,27.4,TLW,NL,0 ,0 ,0,0,0.012,0,0,0,0,0,0,0,0,0,0,0,0,0
ABZ,27.4.c,TLW,NL,0 ,0 ,0,0,0.012,0,0,0,0,0,0,0,0,0,0,0,0,0
ABZ,27,TLW,PL,1175.874 ,1489.796 ,3269.568,5639.475,575.544,585.336,377.53,0,0,0,0,0,0,0,0,0,0,0
ABZ,27.3,TLW,PL,1175.874 ,1489.796 ,3269.568,5639.475,575.544,585.336,377.53,0,0,0,0,0,0,0,0,0,0,0
ABZ,27.3.d,TLW,PL,1175.874 ,1489.796 ,3269.568,5639.475,575.544,585.336,377.53,0,0,0,0,0,0,0,0,0,0,0
ABZ,27.3.d.24,TLW,PL,69.66 ,232.813 ,433.19,745.964,97.55,180.13,53.45,0,0,0,0,0,0,0,0,0,0,0
ABZ,27.3.d.25,TLW,PL,1089.045 ,1256.983 ,2829.348,4850.561,427.994,351.206,324.08,0,0,0,0,0,0,0,0,0,0,0
ABZ,27.3.d.26,TLW,PL,17.169 ,0 ,7.03,42.95,50,54,0,0,0,0,0,0,0,0,0,0,0,0
ACC,27,TLW,EE,11.046 ,14.4535 ,22.0397,37.54,55.775,48.729,42.91,37.36,24.17,35.3,0,0,0,0,0,0,0,0
ACC,27.3,TLW,EE,11.046 ,14.4535 ,22.0397,37.54,55.775,48.729,42.91,37.36,24.17,35.3,0,0,0,0,0,0,0,0
ACC,27.3.d,TLW,EE,11.046 ,14.4535 ,22.0397,37.54,55.775,48.729,42.91,37.36,24.17,35.3,0,0,0,0,0,0,0,0
ACC,27.3.d.28,TLW,EE,6.915 ,7.8814 ,10.9133,15.488,28.102,34.867,31.08,22.23,15.58,21.18,0,0,0,0,0,0,0,0
ACC,27.3.d.28.1,TLW,EE,6.915 ,7.8814 ,10.9093,15.488,28.085,34.867,31.08,22.23,15.56,21.18,0,0,0,0,0,0,0,0
ACC,27.3.d.28.2,TLW,EE,0 ,0 ,0.004,0,0.017,0,0,0,0.02,0,0,0,0,0,0,0,0,0
ACC,27.3.d.29,TLW,EE,4.0467 ,6.5701 ,11.1139,22.032,27.651,13.856,11.81,15.08,8.54,13.99,0,0,0,0,0,0,0,0
ACC,27.3.d.32,TLW,EE,0.0843 ,0.002 ,0.0125,0.02,0.022,0.006,0.02,0.05,0.04,0.12,0,0,0,0,0,0,0,0
ACC,27,TLW,LV,0 ,0.012 ,0,0.03,0.02,0.02,0.17,0.13,0.05,0.15,0.05,0.04,0.1,0.1,0.3,0,0,0
ACC,27.3,TLW,LV,0 ,0.012 ,0,0.03,0.02,0.02,0.17,0.13,0.05,0.15,0.05,0.04,0.1,0.1,0.3,0,0,0
ACC,27.3.d,TLW,LV,0 ,0.012 ,0,0.03,0.02,0.02,0.17,0.13,0.05,0.15,0.05,0.04,0.1,0.1,0.3,0,0,0
ACC,27.3.d.28,TLW,LV,0 ,0.012 ,0,0.03,0.02,0.02,0.17,0.13,0.05,0.15,0.05,0.04,0.1,0.1,0.3,0,0,0
ACC,27.3.d.28.1,TLW,LV,0 ,0.012 ,0,0.03,0.02,0.02,0.17,0.13,0.05,0.15,0.05,0.04,0,0,0,0,0,0
ACC,27.3.d.28_NK,TLW,LV,0 ,0 ,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.3,0,0,0
ACC,27,TLW,PL,0.025 ,0.004 ,0.03,0.042,0.15,6.002,0,0,0.11,0,0.28,1.23,0.4,1.1,0.8,1.3,2,1.8
ACC,27.3,TLW,PL,0.025 ,0.004 ,0.03,0.042,0.15,6.002,0,0,0.11,0,0.28,1.23,0.4,1.1,0.8,1.3,2,1.8
ACC,27.3.d,TLW,PL,0.025 ,0.004 ,0.03,0.042,0.15,6.002,0,0,0.11,0,0.28,1.23,0.4,1.1,0.8,1.3,2,1.8
ACC,27.3.d.24,TLW,PL,0.025 ,0.004 ,0.028,0.037,0.01,5.7,0,0,0.11,0,0.28,0.25,0.2,1.1,0.7,1.3,2,1.8
ACC,27.3.d.26,TLW,PL,0 ,0 ,0.002,0.005,0.14,0.302,0,0,0,0,0,0.98,0.2,0,0.1,0,0,0
ACC,27,TLW,RU,134,34,47,340,74,133,318,365,256,257,284,267,169,259,0,207,0,0
ACC,27.3,TLW,RU,134,34,47,340,74,133,318,365,256,257,284,267,169,259,0,207,0,0
ACC,27.3.d,TLW,RU,134,34,47,340,74,133,318,365,256,257,284,267,169,259,0,207,0,0
ACC,27.3.d.26,TLW,RU,12,9,4,3,2,0,2,3,2,4,1,1,10,28,0,56,0,0
ACC,27.3.d.32,TLW,RU,122,25,43,337,72,133,316,362,254,253,283,266,159,231,0,151,0,0
ACC,27,TLW,SE,1.452 ,2.677 ,2.721,3.3,3.778,0.239,0,0,0.03,0,0,0,0,0,0,0,0,0
ACC,27.3,TLW,SE,1.452 ,2.677 ,2.721,3.3,3.778,0.239,0,0,0.03,0,0,0,0,0,0,0,0,0
ACC,27.3.d,TLW,SE,1.452 ,2.677 ,2.721,3.3,3.778,0.239,0,0,0.03,0,0,0,0,0,0,0,0,0
ACC,27.3.d.25,TLW,SE,0 ,0 ,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0
ACC,27.3.d.27,TLW,SE,0 ,0.01 ,0,0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACC,27.3.d.31,TLW,SE,1.452 ,2.667 ,2.721,3.297,3.778,0.239,0,0,0,0,0,0,0,0,0,0,0,0
ACH,27,TLW,BE,0 ,0.2 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACH,27.7,TLW,BE,0 ,0.2 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACH,27.7.d,TLW,BE,0 ,0.2 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACH,27,TLW,EE,0 ,0 ,0,0,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0
ACH,27.3,TLW,EE,0 ,0 ,0,0,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0
ACH,27.3.d,TLW,EE,0 ,0 ,0,0,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0
ACH,27.3.d.32,TLW,EE,0 ,0 ,0,0,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0
ACH,27,TLW,NO,0 ,0 ,0,0,0,0,0,0,0,0,0,0,0.37,0,0,0,0,0
ACH,27.4,TLW,NO,0 ,0 ,0,0,0,0,0,0,0,0,0,0,0.37,0,0,0,0,0
ACH,27.4.a,TLW,NO,0 ,0 ,0,0,0,0,0,0,0,0,0,0,0.37,0,0,0,0,0
ACH,27,TLW,SE,0 ,0 ,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0
ACH,27.3,TLW,SE,0 ,0 ,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0
ACH,27.3.d,TLW,SE,0 ,0 ,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0
ACH,27.3.d.30,TLW,SE,0 ,0 ,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0
AES,27,TLW,DE,0 ,0 ,0,0,0,0,0.11,0.19,2.53,10.75,0,0,0,0,0,0,0,0
AES,27.4,TLW,DE,0 ,0 ,0,0,0,0,0.11,0.19,2.53,10.75,0,0,0,0,0,0,0,0
AES,27.4.b,TLW,DE,0 ,0 ,0,0,0,0,0.11,0.18,2.53,10.75,0,0,0,0,0,0,0,0
AES,27.4.c,TLW,DE,0 ,0 ,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0
AES,27,TLW,ES,0.02 ,0 ,0,0.02,0,1.09,0,0,0,0.05,0,0,0,0,0,0,0,0
AES,27.9,TLW,ES,0.02 ,0 ,0,0.02,0,1.09,0,0,0,0.05,0,0,0,0,0,0,0,0
AES,27.9.a,TLW,ES,0.02 ,0 ,0,0.02,0,1.09,0,0,0,0.05,0,0,0,0,0,0,0,0
AES,27,TLW,GB,8,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AES,27.4,TLW,GB,0 ,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AES,27.7,TLW,GB,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AES,27.4.c,TLW,GB,0 ,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AES,27.7.a,TLW,GB,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AES,27.7.e,TLW,GB,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AES,27,TLW,NL,0 ,0 ,0,0.005,0,0,0.39,0.7,3.2,8.2,2,0,0,0,0,0,0,0
AES,27.4,TLW,NL,0 ,0 ,0,0.005,0,0,0.39,0.7,3.2,8.2,2,0,0,0,0,0,0,0
AES,27.4.b,TLW,NL,0 ,0 ,0,0.005,0,0,0.18,0,2.5,5.4,2,0,0,0,0,0,0,0
AES,27.4.c,TLW,NL,0 ,0 ,0,0,0,0,0.21,0.7,0.7,2.8,0,0,0,0,0,0,0,0
AES,27,TLW,SE,0.053 ,0.994 ,2.0758,0.6629,0.6913,0.057,0.83,0,0,0,0,0,0,0,0,0,0,0
AES,27.3,TLW,SE,0.053 ,0.994 ,2.0758,0.6629,0.6913,0.057,0.83,0,0,0,0,0,0,0,0,0,0,0
AES,27.3.a,TLW,SE,0.053 ,0.994 ,2.0758,0.6629,0.6913,0.057,0.83,0,0,0,0,0,0,0,0,0,0,0
AES,27.3.a.20,TLW,SE,0.053 ,0.994 ,2.0758,0.6629,0.6913,0.057,0.83,0,0,0,0,0,0,0,0,0,0,0
AFT,27,TLW,DK,0 ,0 ,0,0,0,0,0,0,2.35,0,0,0,0,0,0,0,0,0
AFT,27.4,TLW,DK,0 ,0 ,0,0,0,0,0,0,2.35,0,0,0,0,0,0,0,0,0
AFT,27.4.b,TLW,DK,0 ,0 ,0,0,0,0,0,0,2.32,0,0,0,0,0,0,0,0,0
AFT,27.4.c,TLW,DK,0 ,0 ,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0
AGA,27,TLW,ES,0 ,0.01 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AGA,27.8,TLW,ES,0 ,0.01 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AGA,27.8.c,TLW,ES,0 ,0.01 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AGD,27,TLW,PT,0 c,0.17 ,0.04,0.01,0.01,0,0,0,0,0,0,0.01,0,0,0,0,0,0
AGD,27.10,TLW,PT,0 ,0.16 ,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AGD,27.9,TLW,PT,0 c,0.01 ,0.01,0.01,0.01,0,0,0,0,0,0,0.01,0,0,0,0,0,0
AGD,27.10.a,TLW,PT,0 ,0.16 ,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AGD,27.10.a.2,TLW,PT,0 ,0.16 ,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AGD,27.9.a,TLW,PT,0 c,0.01 ,0.01,0.01,0.01,0,0,0,0,0,0,0.01,0,0,0,0,0,0
AGK,27,TLW,PT,1.1 ,2.25 ,2.23,1.92,3.29,2.73,1.27,5.35,4,2.84,2.79,3.3,2.58,3,2,3,3,4.9
AGK,27.10,TLW,PT,1.1 ,2.25 ,2.23,1.92,3.29,2.73,1.27,4.9,4,2.84,2.79,3.3,2.58,3,2,3,3,4.9
AGK,27.9,TLW,PT,0 ,0 ,0,0,0,0,0,0.45,0,0,0,0,0,0,0,0,0,0
AGK,27.10.a,TLW,PT,1.1 ,2.25 ,2.23,1.92,3.29,2.73,1.27,4.9,4,2.84,2.79,3.3,2.58,0,2,3,0,0
AGK,27.10.a.2,TLW,PT,1.1 ,2.25 ,2.23,1.92,3.29,2.73,1.27,4.9,4,2.84,2.79,3.3,2.58,0,0,0,0,0
AGK,27.10.a_NK,TLW,PT,0 ,0 ,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0
AGK,27.10_NK,TLW,PT,0 ,0 ,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,4.9
AGK,27.9.b,TLW,PT,0 ,0 ,0,0,0,0,0,0.45,0,0,0,0,0,0,0,0,0,0
AGK,27.9.b.1,TLW,PT,0 ,0 ,0,0,0,0,0,0.45,0,0,0,0,0,0,0,0,0,0
AGN,27,TLW,ES,0.37 ,0.36 ,0.17,0,2.43,0.24,0,0.86,1.91,0.3,4.26,62.54,10.36,9.3,0.01,0.02,0.8,0.1
AGN,27.8,TLW,ES,0.01 ,0 ,0,0,0,0,0,0,0,0,0.02,0.03,0.05,0,0,0.01,0,0
AGN,27.9,TLW,ES,0.36 ,0.36 ,0.17,0,2.43,0.24,0,0.86,1.91,0.3,4.24,62.51,10.31,9.3,0.01,0.01,0.8,0.1
AGN,27.8.b,TLW,ES,0 ,0 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0
AGN,27.8.c,TLW,ES,0.01 ,0 ,0,0,0,0,0,0,0,0,0.02,0.03,0.05,0,0,0,0,0
AGN,27.9.a,TLW,ES,0.36 ,0.36 ,0.17,0,2.43,0.24,0,0.86,1.91,0.3,4.24,62.51,10.31,9.3,0.01,0.01,0.8,0.1
AGN,27,TLW,FR,0 ,0 ,0,0,0,0,0,0,0.53,0.01,0.02,1.5,0.97,1.7,1.6,0.01,0.63,0.3
AGN,27.7,TLW,FR,0 ,0 ,0,0,0,0,0,0,0.52,0.01,0.02,1.5,0.88,1.7,0.7,0,0.52,0.2
AGN,27.8,TLW,FR,0 ,0 ,0,0,0,0,0,0,0.01,0,0,0,0.09,0,0.9,0.01,0.11,0.1
AGN,27.7.d,TLW,FR,0 ,0 ,0,0,0,0,0,0,0.46,0,0,1.29,0.3,0,0,0,0.01,0
AGN,27.7.e,TLW,FR,0 ,0 ,0,0,0,0,0,0,0.06,0.01,0.02,0.21,0.31,1.1,0,0,0.1,0
AGN,27.7.f,TLW,FR,0 ,0 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0
AGN,27.7.g,TLW,FR,0 ,0 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.1
AGN,27.7.h,TLW,FR,0 ,0 ,0,0,0,0,0,0,0,0,0,0,0.27,0.6,0.7,0,0.01,0.1
AGN,27.8.a,TLW,FR,0 ,0 ,0,0,0,0,0,0,0,0,0,0,0.09,0,0,0.01,0.1,0.1
AGN,27.8.b,TLW,FR,0 ,0 ,0,0,0,0,0,0,0.01,0,0,0,0,0,0.9,0,0.01,0
AGN,27,TLW,GB,0 ,0,0,0,0.0761,0.024,0.13,0,0,0,0,0,0,0,0,0,0.02,0.01
AGN,27.4,TLW,GB,0 ,0,0,0,0.0761,0,0.13,0,0,0,0,0,0,0,0,0,0,0
AGN,27.7,TLW,GB,0 ,0,0,0,0,0.024,0,0,0,0,0,0,0,0,0,0,0.02,0.01
AGN,27.4.a,TLW,GB,0 ,0,0,0,0.0761,0,0.13,0,0,0,0,0,0,0,0,0,0,0
AGN,27.7.a,TLW,GB,0 ,0,0,0,0,0.024,0,0,0,0,0,0,0,0,0,0,0,0
AGN,27.7.e,TLW,GB,0 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0
AGN,27.7.f,TLW,GB,0 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01
AHH,27,TLW,PT,0 c,0.08 ,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0
AHH,27.1,TLW,PT,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0
AHH,27.9,TLW,PT,0 c,0.08 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AHH,27.10.a,TLW,PT,0 ,0 ,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0
AHH,27.10.a.2,TLW,PT,0 ,0 ,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0
AHH,27.9.a,TLW,PT,0 c,0.08 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AHN,27,TLW,PT,0 c,3.25 ,1.55,2.64,2.37,5.55,1.38,3.42,0.92,0.99,0.78,0.58,1.07,1,1.01,1,1,0.71
AHN,27.10,TLW,PT,0 c,0.01 ,0,0.02,0.03,0.06,0.01,0.08,0.06,0.01,0,0,0.01,0,0,0,0,0
AHN,27.8,TLW,PT,0 ,0 ,0,0,0,0,0,0,0.06,0,0.11,0.09,0,0,0.01,0,0,0
AHN,27.9,TLW,PT,3.22 ,3.24 ,1.55,2.62,2.34,5.49,1.37,3.34,0.8,0.98,0.67,0.49,1.06,1,1,1,1,0.71
AHN,27.10.a,TLW,PT,0 c,0.01 ,0,0.02,0.03,0.06,0.01,0.08,0.06,0.01,0,0,0.01,0,0,0,0,0
AHN,27.10.a.2,TLW,PT,0 c,0.01 ,0,0.02,0.03,0.06,0.01,0.08,0.06,0.01,0,0,0.01,0,0,0,0,0
AHN,27.8.c,TLW,PT,0 ,0 ,0,0,0,0,0,0,0.06,0,0.11,0.09,0,0,0.01,0,0,0
AHN,27.9.a,TLW,PT,3.22 ,3.24 ,1.55,2.62,2.34,5.49,1.37,3.34,0.8,0.98,0.67,0.49,1.06,1,1,1,1,0.01
AHN,27.9_NK,TLW,PT,0 ,0 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7
AJC,27,TLW,ES,0.02 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AJC,27.9,TLW,ES,0.02 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
